,store_id,mse_naive,mse_naive_seasonal,mse_sarima,mae_LR
0,1,90136.72714285714,71970.35107142854,63623.81051559549,60529.426123966485
1,2,81483.28107142856,81267.17000000003,64559.44136038335,62166.18094883503
2,3,17841.88,18993.431428571424,17014.648746303683,15147.08275981084
3,4,71920.64178571431,71340.27214285715,50918.34446737047,50668.029030060665
4,5,15007.310714285708,15163.61892857143,11661.809412164608,11063.370592345907
5,6,74389.52035714286,95019.15285714284,64475.82215948882,67430.07933513068
6,7,27932.954642857152,85654.3592857143,35312.759248618495,40803.43931364807
7,8,32596.768214285723,33978.75571428572,25409.472184206275,23986.51190229951
8,9,23395.26107142858,29158.115357142862,20079.28560517496,18913.95137141611
9,10,61940.66642857144,98187.54535714284,50633.81413136616,79743.41181558801
10,11,74593.26428571426,78142.2264285714,57025.089899129685,58731.814319852354
11,12,44386.24035714286,57369.16107142857,45923.18309041396,38418.641148861454
12,13,70837.82214285713,89515.53107142854,55514.86727670702,57997.194887225276
13,14,108886.27892857142,158870.28071428576,114843.48719475207,198034.00468632806
14,15,28553.30321428572,45054.68857142858,29682.526704875218,33869.0627507022
15,16,32725.92821428572,49940.80642857143,27416.41020693381,28730.655700754083
16,17,67238.97035714285,92809.66464285713,56175.46248507423,61210.57568856402
17,18,54226.09821428573,76922.00035714287,44818.460355264855,43389.49150299718
18,19,70275.19214285714,109678.9125,65316.22569736941,71247.16433577663
19,20,97400.49107142854,103510.9096428571,83989.99929177681,83979.08493800009
20,21,29212.10607142856,50234.19464285715,32034.416269807007,45749.52595359774
21,22,48217.27178571428,70141.27607142857,42362.94754228335,39092.42057500874
22,23,74529.99749999998,134661.4475,63823.77347456047,62167.57292954302
23,24,85453.16214285714,86256.53964285713,68334.10751155412,65412.298501609344
24,25,26809.63428571429,43339.98464285717,27020.48874058528,24031.52200222708
25,26,54944.48821428573,54801.94571428572,40900.27894637423,43576.588186404675
26,27,79272.49750000003,131756.1785714286,81666.5857386235,83928.61183420832
27,28,137222.73285714287,72003.44321428573,106394.27416411064,98750.82404034663
28,29,31229.88964285715,47944.73785714287,31475.10112733685,27674.988026531315
29,30,12264.49785714285,11301.26142857142,11190.61902456862,8426.76417295365
30,31,43900.92571428568,38848.85785714282,33188.137515282644,28087.754424905095
31,32,35559.67928571431,56400.37464285716,35337.716963224004,33215.568763738476
32,33,21030.085000000003,10266.316428571425,8325.50426105588,7097.071037415543
33,34,31332.693571428583,31254.15,24944.09311745631,21805.688116733672
34,35,47525.53857142857,72380.69142857143,44910.68708368634,43592.32111955572
35,36,14126.388214285716,9507.21678571429,7850.571988112568,7537.51335667103
36,37,12841.954999999998,13372.758214285715,10897.628305809272,11033.069103392716
37,38,31590.477857142854,19946.27321428571,19071.41877138877,18020.515909271893
38,39,74191.2175,107136.58392857142,73927.88887061554,72575.2069798784
39,40,70537.73678571428,56048.72857142858,50086.07242055206,51947.22868275633
40,41,56728.44928571425,76409.63500000001,53761.69737862014,63385.52525939422
41,42,49992.08678571427,24025.34178571428,17545.35320560613,18595.367143393825
42,43,28837.015357142867,17624.040714285722,15859.595867318276,16082.947532006569
43,44,11404.859642857138,10704.533571428574,9587.748828900536,12891.226287658119
44,45,28542.89821428572,40603.558928571445,28865.291042809466,32852.470315424995
